월,구분,작지번호,고객,품명,담당자,국가,오더수량,포장단위,수주금액,화폐,수주금액(원),수주금액(달러),수주 전송일,영업출고요청일,영업협의출고일,생산완료예상일,포장완료예상일,포장 진도율,현재상태,포장완료일,리드타임(일),리드타임 검토,납기준수(영업출고요청일),납기준수(영업협의출고일),생산/포장 특이사항,연도,__month_date__
26.04월,1-DAY,202604080001,(주)피피비스튜디오스,Winc Clear Air Plus 1Day_30P,김우현,대한민국,16200,30,5459400,KRW,5459400,3767,2026-04-08 00:00:00,2026-04-08 00:00:00,,포장완료,,100,포장완료,2026-03-30 00:00:00,,검토필요(-9일),준수,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0746,"INTEROJO CHINA CO., LTD",Clalen D_Pink Tulip Brown,임건훈,중국,12000,10,18120,CNY,3426592,2578,2026-03-03 00:00:00,2026-04-10 00:00:00,,포장완료,,100,포장완료,2026-04-03 00:00:00,31,,준수,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0746,"INTEROJO CHINA CO., LTD",Clalen D_Mimosa Brown,임건훈,중국,27000,10,40770,CNY,7709831,5800,2026-03-03 00:00:00,2026-04-10 00:00:00,,포장완료,,100,포장완료,2026-04-16 00:00:00,44,,지연,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0746,"INTEROJO CHINA CO., LTD",Clalen D_Canola Brown,임건훈,중국,36000,10,54360,CNY,10279775,7734,2026-03-03 00:00:00,2026-04-10 00:00:00,,포장완료,,100,포장완료,2026-04-16 00:00:00,44,,지연,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0747,"INTEROJO CHINA CO., LTD",JEWEL MOON D_Creamy Moon,임건훈,중국,10000,10,15100,CNY,2855493,2148,2026-03-03 00:00:00,2026-04-10 00:00:00,,포장완료,,100,포장완료,2026-04-17 00:00:00,45,,지연,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0747,"INTEROJO CHINA CO., LTD",JEWEL MOON D_Cherry Moon,임건훈,중국,37000,10,55870,CNY,10565324,7949,2026-03-03 00:00:00,2026-04-10 00:00:00,,포장완료,,100,포장완료,2026-04-17 00:00:00,45,,지연,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0827,Top Trend International Investment Limited,Clalen D_Pink Tulip Brown,임건훈,홍콩,70,10,21,USD,28464,21,2026-03-11 00:00:00,2026-04-13 00:00:00,,포장완료,,100,포장완료,2026-04-06 00:00:00,26,,준수,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0922,Top Trend International Investment Limited,(NEW)O2O2 D_Sepia Choco EX,임건훈,홍콩,2700,30,903,USD,1223962,903,2026-03-11 00:00:00,2026-04-13 00:00:00,,포장완료,,100,포장완료,2026-04-07 00:00:00,27,,준수,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0922,Top Trend International Investment Limited,(NEW)O2O2 D_Ash Brown EX,임건훈,홍콩,3900,30,1302,USD,1764783,1302,2026-03-11 00:00:00,2026-04-13 00:00:00,,포장완료,,100,포장완료,2026-04-07 00:00:00,27,,준수,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0922,Top Trend International Investment Limited,(NEW)O2O2 D_Ash Gray EX,임건훈,홍콩,2310,30,766,USD,1038945,766,2026-03-11 00:00:00,2026-04-13 00:00:00,,포장완료,,100,포장완료,2026-04-07 00:00:00,27,,준수,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0922,Top Trend International Investment Limited,O2O2 D_Spherical(DK70)_K2-SMD,임건훈,홍콩,6420,30,2020,USD,2737447,2020,2026-03-11 00:00:00,2026-04-13 00:00:00,,포장완료,,100,포장완료,2026-04-07 00:00:00,27,,준수,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0923,Top Trend International Investment Limited,O2O2 D_Spherical(DK70)_K2-SMD,임건훈,홍콩,860,1,172,USD,233136,172,2026-03-11 00:00:00,2026-04-13 00:00:00,,포장완료,,100,포장완료,2026-04-08 00:00:00,28,,준수,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0925,"INTEROJO CHINA CO., LTD",Clalen O2O2 1Day Micelia_Deep Black,임건훈,중국,22050,30,0,CNY,0,0,2026-02-03 00:00:00,2026-04-03 00:00:00,,포장완료,,100,포장완료,2026-03-20 00:00:00,45,,준수,기준없음,법인향 O2O2 샘플 / 출고 완료 건,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0925,"INTEROJO CHINA CO., LTD",Clalen O2O2 1Day Micelia_Lake Gray,임건훈,중국,22050,30,0,CNY,0,0,2026-02-03 00:00:00,2026-04-03 00:00:00,,포장완료,,100,포장완료,2026-03-20 00:00:00,45,,준수,기준없음,법인향 O2O2 샘플 / 출고 완료 건,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0925,"INTEROJO CHINA CO., LTD",Clalen O2O2 1Day Micelia_Mute Brown,임건훈,중국,22050,30,0,CNY,0,0,2026-02-03 00:00:00,2026-04-03 00:00:00,,포장완료,,100,포장완료,2026-03-20 00:00:00,45,,준수,기준없음,법인향 O2O2 샘플 / 출고 완료 건,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0925,"INTEROJO CHINA CO., LTD",(NEW)O2O2 D_Sepia Choco EX,임건훈,중국,11160,30,0,CNY,0,0,2026-02-03 00:00:00,2026-04-03 00:00:00,,포장완료,,100,포장완료,2026-03-20 00:00:00,45,,준수,기준없음,법인향 O2O2 샘플 / 출고 완료 건,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0925,"INTEROJO CHINA CO., LTD",(NEW)O2O2 D_Ash Brown EX,임건훈,중국,11430,30,0,CNY,0,0,2026-02-03 00:00:00,2026-04-03 00:00:00,,포장완료,,100,포장완료,2026-03-20 00:00:00,45,,준수,기준없음,법인향 O2O2 샘플 / 출고 완료 건,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0925,"INTEROJO CHINA CO., LTD",(NEW)O2O2 D_Ash Gray EX,임건훈,중국,11250,30,0,CNY,0,0,2026-02-03 00:00:00,2026-04-03 00:00:00,,포장완료,,100,포장완료,2026-03-20 00:00:00,45,,준수,기준없음,법인향 O2O2 샘플 / 출고 완료 건,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0925,"INTEROJO CHINA CO., LTD",(NEW)O2O2 D_Blending Hazel EX,임건훈,중국,11250,30,0,CNY,0,0,2026-02-03 00:00:00,2026-04-03 00:00:00,,포장완료,,100,포장완료,2026-03-20 00:00:00,45,,준수,기준없음,법인향 O2O2 샘플 / 출고 완료 건,2026,2026-04-01 00:00:00
26.04월,1-DAY,DD0925,"INTEROJO CHINA CO., LTD",(NEW)O2O2 D_Blending Rose EX,임건훈,중국,11250,30,0,CNY,0,0,2026-02-03 00:00:00,2026-04-03 00:00:00,,포장완료,,100,포장완료,2026-03-20 00:00:00,45,,준수,기준없음,법인향 O2O2 샘플 / 출고 완료 건,2026,2026-04-01 00:00:00
26.04월,1-DAY,GG0176,"SINCERE Co.,Ltd",sincere Natural 1day,송미정,일본,120600,30,20140,USD,27298833,20140,2026-02-27 00:00:00,2026-04-03 00:00:00,,포장완료,,100,포장완료,2026-03-30 00:00:00,31,,준수,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,HW0294,OPTIMAX,O2O2 D_Spherical(DK70)_K2-SMD_White,임현우,그리스,3600,30,972,EUR,1541582,1137,2026-03-09 00:00:00,2026-04-09 00:00:00,,포장완료,,100,포장완료,2026-04-07 00:00:00,29,,준수,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,V3036,Digero GmbH & Co. KG,O2O2 D_Multifocal(Dk70)_White_K2_SMD,손지윤,독일,360,30,202,USD,273257,202,2026-03-05 00:00:00,2026-04-06 00:00:00,,포장완료,,100,포장완료,2026-04-03 00:00:00,29,,준수,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,V3045,OPHTALMIC France,O2O2_D_Multifocal_K2_SMDH_WHITE,손지윤,프랑스,1500,30,480,EUR,761275,561,2026-03-10 00:00:00,2026-04-01 00:00:00,,포장완료,,100,포장완료,2026-03-23 00:00:00,13,,준수,기준없음,,2026,2026-04-01 00:00:00
26.04월,1-DAY,V3045,OPHTALMIC France,O2O2_D_Multifocal_K2_SMDH_WHITE,손지윤,프랑스,3260,5,1043,EUR,1654505,1220,2026-03-10 00:00:00,2026-04-01 00:00:00,,포장완료,,100,포장완료,2026-03-23 00:00:00,13,,준수,기준없음,,2026,2026-04-01 00:00:00
