생산일자,공정,품목코드,생산수량
2026-03-01,접착,P0174A-03.75DBK3,1615
2026-03-01,접착,P0174A-03.00DBK3,1170
2026-03-01,분리,Q1026-00.75,2438
2026-03-01,분리,Q1026-00.75,2446
2026-03-01,분리,Q1026-01.75,1442
2026-03-01,분리,Q1026-01.75,2453
2026-03-01,분리,Q1026-02.75,1662
2026-03-01,접착,P1026A-00.75,2385
2026-03-01,누수,P1026A-03.00,2450
2026-03-01,접착,P1026A-03.00,2425
2026-03-01,누수,P1026A-03.00,2420
2026-03-01,접착,P1026A+01.50,2255
2026-03-01,접착,P1026A-01.75,2345
2026-03-01,누수,P0174A-03.75DBK3,1780
2026-03-01,누수,P0174A-03.00DBK3,1685
2026-03-01,누수,P0174A-03.00DBK3,1805
2026-03-01,누수,P0174A-03.00DBK3,1750
2026-03-01,누수,P1026A-00.75,2385
2026-03-01,누수,P1026A-00.75,2375
2026-03-01,누수,P5170A-01.50,1920
2026-03-01,누수,P1026A-01.75,2355
2026-03-01,누수,P1026A-01.75,2360
2026-03-01,접착,P1026A-00.75,2405
2026-03-01,누수,P1026A-00.75,2380
2026-03-01,접착,P0174A-07.50DBK3,1515
2026-03-01,접착,P0174A-03.75DBK3,1780
2026-03-01,분리,Q1026-02.75,2352
2026-03-01,접착,P3408A-02.75BRW,1325
2026-03-01,접착,P3408A-07.00BRW,1130
2026-03-01,분리,Q1026-00.75,2440
2026-03-01,분리,Q1026-01.75,2413
2026-03-01,접착,P3405A-03.00SPC,1300
2026-03-01,접착,P0174A-03.25DBK3,1555
2026-03-01,접착,P0174A-05.50DBK3,1330
2026-03-01,접착,P3408A-06.50BRW,1320
2026-03-01,분리,Q1026-00.75,2445
2026-03-01,분리,Q1026-02.75,2388
2026-03-01,분리,Q1026-01.75,2450
2026-03-01,접착,P3408A-04.75BRW,1640
2026-03-01,접착,P5294A-00.00IGM,1545
2026-03-01,누수,P1026A-01.75,2340
2026-03-01,누수,P1026A-01.75,2310
2026-03-01,누수,P1026A-01.75,2390
2026-03-01,누수,P1026A-03.00,2430
2026-03-01,누수,P5170A-01.25,2130
2026-03-01,접착,P1026A-00.75,2415
2026-03-01,누수,P0174A-03.25DBK3,1490
2026-03-01,누수,P1026A-03.00,2415
2026-03-01,누수,P0174A-03.75DBK3,1615
2026-03-01,누수,P5170A-01.00,2095
2026-03-01,접착,P1026A-00.75,2395
2026-03-01,누수,P1026A-03.00,2440
2026-03-01,누수,P1026A-00.75,2310
2026-03-01,누수,P3408A-06.50BRW,1675
2026-03-01,접착,P0174A-03.25DBK3,1270
2026-03-01,접착,P3408A-07.00BRW,1160
2026-03-01,접착,P3408A-06.00BRW,1345
2026-03-01,접착,P3408A-02.25BRW,1295
2026-03-01,분리,Q1026-01.00,2183
2026-03-01,분리,Q1026-01.75,2450
2026-03-01,누수,P0174A-03.75DBK3,1645
2026-03-01,누수,P0174A-03.00DBK3,1770
2026-03-01,누수,P1026A-01.75,2345
2026-03-01,누수,P0174A-03.25DBK3,1545
2026-03-01,누수,P0174A-03.75DBK3,1650
2026-03-01,누수,P0174A-03.00DBK3,1770
2026-03-01,누수,P5170A-01.00,1665
2026-03-01,누수,P5170A-01.25,2145
2026-03-01,누수,P1026A-01.75,2365
2026-03-01,누수,P0174A-03.75DBK3,1470
2026-03-01,누수,P0174A-07.50DBK3,1510
2026-03-01,누수,P1026A-03.00,2410
2026-03-01,누수,P1026A+01.50,2255
2026-03-01,누수,P1026A-03.00,2325
2026-03-01,누수,P0174A-03.00DBK3,1165
2026-03-01,누수,P1026A-00.75,2410
2026-03-01,누수,P3408A-07.00BRW,1395
2026-03-01,누수,P0174A-03.25DBK3,700
2026-03-01,접착,P3408A-07.00BRW,1400
2026-03-01,분리,Q1026+07.00,1874
2026-03-01,분리,Q1026-01.75,2445
2026-03-01,접착,P5294A-00.00IGM,1800
2026-03-01,접착,P1026A-01.75,2370
2026-03-01,접착,P3408A-06.50BRW,1685
2026-03-01,분리,Q1026+07.50,1916
2026-03-01,분리,Q1026-00.75,2425
2026-03-01,분리,Q1026-01.75,2450
2026-03-01,누수,P0174A-03.25DBK3,1250
2026-03-01,누수,P0174A-04.00DBK3,1475
2026-03-01,누수,P5294A-00.00IGM,1960
2026-03-01,누수,P5170A-01.50,2185
2026-03-01,누수,P5170A-01.00,1760
2026-03-01,누수,P0174A-05.50DBK3,1325
2026-03-01,누수,P3408A-06.50BRW,1320
2026-03-01,접착,P0174A-04.00DBK3,1480
2026-03-01,분리,Q1026-00.75,2437
2026-03-01,접착,P5294A-00.00IGM,1965
2026-03-01,접착,P3405A-03.25SPC,1315
2026-03-01,누수,P3408A-07.00BRW,1160
2026-03-01,누수,P3408A-06.00BRW,1345
2026-03-01,누수,P3408A-02.25BRW,1295
2026-03-01,누수,P5170A-01.50,1975
2026-03-01,접착,P5294A-02.25IGM,1920
2026-03-01,접착,P1026A-00.75,2355
2026-03-01,하이드,P5022A-09.00-1.75180,563
2026-03-01,하이드,P1026A-02.75,2600
2026-03-01,하이드,P1026A-02.75,2559
2026-03-01,하이드,P1026A-03.00,2465
2026-03-01,하이드,P1026A-01.00,1965
2026-03-01,분리,Q1025+03.00+1.00,1478
2026-03-01,분리,Q1026-00.75,2399
2026-03-01,접착,P3408A-04.50BRW,1500
2026-03-01,누수,P5170A-01.50,2190
2026-03-01,하이드,P5022A-02.75-1.75180,553
2026-03-01,하이드,P5022A-02.75-1.25180,607
2026-03-01,하이드,P5022A-08.50-1.75180,382
2026-03-01,하이드,P1026A-02.00,2843
2026-03-01,하이드,P1026A-01.00,2182
2026-03-01,하이드,P5022A-03.00-1.75180,459
2026-03-01,하이드,P5022A-02.75-1.25180,341
2026-03-01,하이드,P5022A-03.00-1.75180,448
2026-03-01,하이드,P1026A-01.00,2132
2026-03-01,하이드,P0174A-04.00DBK3,1440
2026-03-01,하이드,P0174A-03.00DBK3,1496
2026-03-01,누수,P5170A-01.75,2115
2026-03-01,누수,P0174A-03.25DBK3,1270
2026-03-01,접착,P1026A-01.00,2650
2026-03-01,접착,P1026A-01.00,2420
2026-03-01,하이드,P5022A-09.00-1.75180,571
2026-03-01,하이드,P5022A-09.00-1.75180,198
2026-03-01,하이드,P1026A-01.00,2682
2026-03-01,하이드,P1026A-01.00,2484
2026-03-01,하이드,P1026A-01.00,2544
2026-03-01,하이드,P1026A-03.00,2459
2026-03-01,하이드,P0174A-03.75DBK3,1459
2026-03-01,하이드,P0174A-03.25DBK3,1305
2026-03-01,하이드,P3408A-00.00BRW,869
2026-03-01,하이드,P1026A-01.75,2462
2026-03-01,접착,P5294A-10.00IGM,1695
2026-03-01,하이드,P5317A-00.00CED,729
2026-03-01,분리,Q1026-02.75,1961
2026-03-01,분리,Q1026-02.75,2163
2026-03-01,분리,Q1026-01.00,1962
2026-03-01,접착,P3408A-02.25BRW,1540
2026-03-01,하이드,P5022A-09.00-1.75180,432
2026-03-01,하이드,P5022A-08.50-1.25180,486
2026-03-01,하이드,P5022A-08.50-1.75180,597
2026-03-01,하이드,P1026A-02.75,1884
2026-03-01,하이드,P1026A-01.75,2432
2026-03-01,접착,P1026A-01.00,2775
2026-03-01,누수,P3408A-02.75BRW,1320
2026-03-01,하이드,P1026A-00.75,2450
2026-03-01,접착,P3405A-03.75SPC,1290
2026-03-01,누수,P1026A-00.75,2380
2026-03-01,하이드,P3406A-10.00ASB,1801
2026-03-01,하이드,P1026A-00.75,2453
2026-03-01,하이드,P3408A-06.50BRW,1449
2026-03-01,접착,P5294A-02.50IGM,705
2026-03-01,하이드,P5316A-02.00PIE,2149
2026-03-01,접착,P3408A-06.00BRW,1635
2026-03-01,접착,P3408A-02.25BRW,1380
2026-03-01,하이드,P5316A-01.75PIE,2264
2026-03-01,하이드,P5316A-01.75PIE,2097
2026-03-01,하이드,P5316A-02.50PIE,2133
2026-03-01,하이드,P0588A-02.25,1765
2026-03-01,하이드,P5170A-01.75,2277
2026-03-01,누수,P1026A-03.00,2435
2026-03-01,누수,P1026A-00.75,2360
2026-03-01,누수,P1026A-03.00,2375
2026-03-01,하이드,P5022A-03.00-1.25180,623
2026-03-01,하이드,P3406A-09.50ASB,2033
2026-03-01,누수,P1026A-01.75,2370
2026-03-01,누수,P3405A-03.75SPC,1280
2026-03-01,하이드,P5022A-03.00-1.75180,593
2026-03-01,하이드,P1026A-01.75,2421
2026-03-01,하이드,P1026A-02.75,2659
2026-03-01,누수,P1026A-01.75,2345
2026-03-01,누수,P1026A-00.75,2425
2026-03-01,누수,P1026A-00.75,2405
2026-03-01,누수,P1026A+02.50,2215
2026-03-01,누수,P3408A-04.25BRW,1425
2026-03-01,하이드,P5022A-09.00-1.25180,289
2026-03-01,하이드,P1026A-02.00,2562
2026-03-01,하이드,P1026A-00.75,2420
2026-03-01,누수,P5294A-00.00IGM,1545
2026-03-01,누수,P1026A-01.00,2775
2026-03-01,누수,P3405A-03.00SPC,1295
2026-03-01,하이드,P0174A-03.75DBK3,1516
2026-03-01,하이드,P0174A-03.75DBK3,1649
2026-03-01,하이드,P1026A-01.75,2451
2026-03-01,하이드,P1026A-03.00,2454
2026-03-01,누수,P1026A-01.75,2385
2026-03-01,누수,P1026A-00.75,2355
2026-03-01,누수,P5294A-02.25IGM,1920
2026-03-01,누수,P5294A-00.00IGM,1800
2026-03-01,하이드,P3406A-09.50ASB,2100
2026-03-01,하이드,P3406A-09.50ASB,1970
2026-03-01,하이드,P0174A-04.00DBK3,1711
2026-03-01,하이드,P1026A-01.00,2076
2026-03-01,하이드,P1026A-03.00,2484
2026-03-01,분리,Q1025+02.25+1.00,1313
2026-03-01,분리,Q1025+03.00+1.00,1703
2026-03-01,분리,Q1026-02.75,2765
2026-03-01,분리,Q1026-01.00,1957
2026-03-01,분리,Q1026-02.00,2369
2026-03-01,분리,Q1026-02.00,2794
2026-03-01,분리,Q1026-01.75,2460
2026-03-01,하이드,P5316A-00.00PIE,1049
2026-03-01,접착,P1026A-01.00,2495
2026-03-01,누수,P5294A-02.50IGM,705
2026-03-01,누수,P3405A-03.25SPC,1310
2026-03-01,누수,P1026A-02.00,2795
2026-03-01,하이드,P1026A-01.75,1838
2026-03-01,하이드,P1026A-01.75,2431
2026-03-01,누수,P5294A-10.00IGM,1695
2026-03-01,누수,P3408A-04.75BRW,1640
2026-03-01,누수,P1026A-02.75,2490
2026-03-01,누수,P1026A-02.75,2565
2026-03-01,누수,P3408A-06.00BRW,1635
2026-03-01,누수,P1026A-01.00,2650
2026-03-01,누수,P1026A-01.00,2485
2026-03-01,누수,P1026A-01.00,2420
2026-03-01,누수,P3408A-02.25BRW,1380
2026-03-01,누수,P3408A-02.50BRW,1595
2026-03-01,누수,P1026A-01.75,2365
2026-03-01,누수,P1026A-00.75,2410
2026-03-01,누수,P1026A-01.75,2345
2026-03-01,하이드,P1026A-00.75,2367
2026-03-01,하이드,P1026A-00.75,2436
2026-03-01,하이드,P1026A-03.00,2470
2026-03-01,하이드,P1026A-02.75,2463
2026-03-01,하이드,P0174A-03.00DBK3,1780
2026-03-01,하이드,P0174A-03.75DBK3,1735
2026-03-01,하이드,P3408A-03.75BRW,1607
2026-03-01,하이드,P1026A-03.00,2481
2026-03-01,하이드,P1026A-03.00,1968
2026-03-01,하이드,P1026A-02.00,2234
